TAP;type;arath;carpa;glyma;medtr;poptr;ricco;vitvi;orysa;sorbi;zeama;selmo;phypa;volca;chlre;chlsp;micp1;micp2;ostlu;ostta;cyame;guith;auran;phatr;thaps;ectsi;phyra;physo;emihu;plafa;trycr;naegr;enthi;giala;dicdi;dicpu;monbr;enccu;batde;botci;picst;sacce;schpo;phybl;rhior;copci;lacbi;phach;gloil;caeel;drome;fugru;homsa;nemve;xentr
Runt;TF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;6;7;1;3
RWP-RK;TF;14;5;23;6;18;10;8;12;14;22;16;8;9;14;8;4;5;3;4;1;0;0;0;0;8;15;14;0;0;0;12;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S1Fa-like;TF;3;1;4;3;2;1;2;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SAP;TF;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SBP;TF;16;11;48;14;29;15;18;19;19;36;11;14;20;21;31;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SET;TR;33;20;61;25;44;28;31;30;39;53;36;26;16;13;15;18;16;16;10;6;2;12;9;13;16;24;34;32;6;2;8;0;4;11;9;8;1;7;7;5;5;10;11;12;7;15;4;4;28;14;22;39;17;18
Sigma70-like;TF;6;3;12;4;9;5;6;6;6;10;3;6;1;1;1;2;1;1;1;4;1;6;5;4;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Sin3;TR;22;5;11;24;12;2;3;3;5;6;2;6;1;1;2;2;2;2;2;1;0;7;2;3;2;1;1;4;0;0;1;0;0;1;2;1;1;2;0;1;1;3;5;6;4;4;2;0;1;4;3;3;1;3
Sir2;TF;2;2;5;2;3;2;2;2;2;2;4;6;3;2;4;4;4;1;1;3;0;3;7;8;4;5;4;23;4;4;17;10;4;5;4;5;1;4;6;5;5;3;4;4;8;8;5;2;5;7;8;10;10;8
SOH1;TR;1;1;2;0;2;0;0;2;2;1;1;1;1;0;1;1;1;1;1;0;0;0;1;1;1;1;1;0;2;0;0;2;1;1;0;1;1;1;1;1;1;1;1;0;1;1;0;0;1;2;1;1;1;1
SRS;TF;10;4;21;7;10;5;4;5;6;15;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SWI/SNF_BAF60b;TR;17;11;28;12;21;12;14;12;13;25;6;7;1;2;2;1;1;0;0;2;0;2;2;1;3;3;3;1;2;0;1;0;0;2;1;2;1;2;2;3;3;2;2;5;2;3;2;2;3;2;5;12;3;6
SWI/SNF_SNF2;TR;36;22;58;23;47;29;32;38;38;37;31;35;26;18;18;22;23;20;20;13;0;28;22;23;30;18;17;53;20;20;24;22;6;22;19;21;6;15;24;18;17;19;21;25;24;19;11;0;23;25;30;37;20;28
SWI/SNF_SWI3;TR;5;6;7;4;7;5;5;4;3;5;2;5;0;0;0;1;0;2;1;1;0;1;0;1;3;1;2;0;0;0;0;6;0;0;1;1;0;1;1;1;2;4;3;4;0;0;0;1;2;6;2;1;2;1
